age;prog_skill;uni_yrs;OS;progLangs;EngSkill;FavAnimal;MoreMtns;winter;rand1-10;rand0-1;rand0-1_pt2;canteenFood;FavColor;neuralNetwork;vectorMachine;sql;FavSQLServ;APriori;SqRoot;therbforttglag;Planets
25;9;6;Windows;C#, Java, Python;63;Asparagus;Yes;No;8;0.13371337;0.4242424242;Meh;Yellow;Si;Nope;Mm;Dunno;No;squareroot(44523673);?;1337
24;8;4,5;Windows;C#, Python;67;Asparagus;More lakes;Not fed up;10;345;1,0112013316115;yes;yellow;yes;yes;yes;MySQL;yes;a number;evta;8
39;7;8;OSX, Windows;Java, Javascript, Python;60;Zebra;yes;yes;3;1;0;okay;blue;yes;more or less;yes;MySQL;No;I don't know;No idea;I don't know
25;5;4;Windows & Mac;Java, C#, PHP;60;Elephant;No;No;3;1;1;Good food but higher price for me.;Green;yes;NO;yes;SQLServer 2005;NO;2110.06;NO idea, Don't understand the;9
28;5;3,5;windows;Java, C#, PHP;57;Elephant;yes;yes;5;-;-;no comment;orange;yes;no;yes;mySQL;not exactly;-;?;8 i think
38;9;4;OS X;JavaScript, Objective C, Python;61;Elephant;Yes;No;2;0,49;0,48;Meh;Blue;Yes;No;Yes;PostgreSQL;No;Don't know;What?;7
2;8;5;Windows;C#, Java, C++;87,23 pie;Zebra has eaten asparagus and ran away;Not if you're going to steal then from other contries. Please, don't invade anyone.;You call THIS winter? HAHAHAHAHA!;Elephant;Also elephant;Also elephant;It's no more. If I ever catch this zebra...!;Blue. No, wait, green! Aaaah! <falls into the pit of death>;Yupp;Noez;Ah, yiss.;Oracle SQL (over $AmIn for usable license AA);nope;Hey, elephant, why are you running away too?;Ecky-ecky-ecky picking zuu boing!;R.I.P. Pluto [*]
25;7;ﾽ;Windows;C#, Java(Javascript);64;Elephant;No;No;8;0,3;0,4;Average;Blue;no;no;Yes;MS SQL;Nope;No idea;-;-
23;9;4;Windows;C++,F#,C#;65;Asparagus;Yes;No;8;0,0347532;0,1043027301879981101;Expensive;Black;no;no;Yes;The standard one?;No;a number;Wat;9
26;6;6;Windows;C#, SQL, Python;62;Elephant;no;no;7,5;ﾽ;ﾽ;great, but expensive;bamboo;no;no;yes;MS;no, but i know what 'a priori' is;SQRT(44523675);Snails;7
